"cluster_1","cluster_2","n_species_1","n_species_2","n_shared","pct_of_cluster_1","pct_of_cluster_2","total_pct"
"Zone1_D","Zone2_B",37,39,33,89.2,84.6,76.7
"Zone3_A","Zone4_B",28,12,11,39.3,91.7,37.9
"Zone3_B","Zone4_F",29,16,12,41.4,75,36.4
"Zone2_B","Zone3_B",39,29,17,43.6,58.6,33.3
"Zone1_A","Zone2_A",65,60,31,47.7,51.7,33
"Zone1_D","Zone3_B",37,29,15,40.5,51.7,29.4
"Zone3_C","Zone4_E",27,42,14,51.9,33.3,25.5
"Zone1_D","Zone4_F",37,16,10,27,62.5,23.3
"Zone2_A","Zone4_E",60,42,19,31.7,45.2,22.9
"Zone2_B","Zone4_F",39,16,10,25.6,62.5,22.2
"Zone3_C","Zone4_I",27,32,8,29.6,25,15.7
"Zone1_D","Zone3_C",37,27,8,21.6,29.6,14.3
"Zone2_B","Zone3_C",39,27,8,20.5,29.6,13.8
"Zone2_B","Zone3_A",39,28,7,17.9,25,11.7
"Zone1_A","Zone4_E",65,42,11,16.9,26.2,11.5
"Zone2_A","Zone3_C",60,27,9,15,33.3,11.5
"Zone1_B","Zone2_A",18,60,8,44.4,13.3,11.4
"Zone2_A","Zone3_A",60,28,9,15,32.1,11.4
"Zone3_B","Zone4_I",29,32,6,20.7,18.8,10.9
"Zone1_A","Zone3_A",65,28,8,12.3,28.6,9.4
"Zone3_A","Zone4_A",28,19,4,14.3,21.1,9.3
"Zone2_B","Zone4_B",39,12,4,10.3,33.3,8.5
"Zone2_A","Zone3_B",60,29,7,11.7,24.1,8.5
"Zone1_D","Zone4_E",37,42,6,16.2,14.3,8.2
"Zone2_A","Zone4_A",60,19,6,10,31.6,8.2
"Zone2_B","Zone4_I",39,32,5,12.8,15.6,7.6
"Zone1_A","Zone3_C",65,27,6,9.2,22.2,7
"Zone1_D","Zone4_I",37,32,4,10.8,12.5,6.2
"Zone1_B","Zone4_A",18,19,2,11.1,10.5,5.7
"Zone2_B","Zone4_E",39,42,4,10.3,9.5,5.2
"Zone1_A","Zone4_A",65,19,4,6.2,21.1,5
"Zone1_D","Zone3_A",37,28,3,8.1,10.7,4.8
"Zone2_A","Zone4_I",60,32,4,6.7,12.5,4.5
"Zone3_B","Zone4_E",29,42,3,10.3,7.1,4.4
"Zone1_D","Zone2_A",37,60,4,10.8,6.7,4.3
"Zone3_A","Zone4_D",28,25,2,7.1,8,3.9
"Zone3_A","Zone4_C",28,27,2,7.1,7.4,3.8
"Zone3_B","Zone4_C",29,27,2,6.9,7.4,3.7
"Zone1_A","Zone2_B",65,39,3,4.6,7.7,3
"Zone2_A","Zone4_B",60,12,2,3.3,16.7,2.9
"Zone3_A","Zone4_E",28,42,2,7.1,4.8,2.9
"Zone1_A","Zone4_B",65,12,2,3.1,16.7,2.7
"Zone1_C","Zone4_A",21,19,1,4.8,5.3,2.6
"Zone1_C","Zone2_A",21,60,2,9.5,3.3,2.5
"Zone3_C","Zone4_F",27,16,1,3.7,6.2,2.4
"Zone3_A","Zone4_F",28,16,1,3.6,6.2,2.3
"Zone1_A","Zone3_B",65,29,2,3.1,6.9,2.2
"Zone1_D","Zone4_B",37,12,1,2.7,8.3,2.1
"Zone3_C","Zone4_C",27,27,1,3.7,3.7,1.9
"Zone2_A","Zone4_G",60,54,2,3.3,3.7,1.8
"Zone1_A","Zone4_G",65,54,2,3.1,3.7,1.7
"Zone1_D","Zone4_H",37,25,1,2.7,4,1.6
"Zone2_B","Zone4_H",39,25,1,2.6,4,1.6
"Zone2_B","Zone4_C",39,27,1,2.6,3.7,1.5
"Zone3_A","Zone4_J",28,46,1,3.6,2.2,1.4
"Zone2_A","Zone4_F",60,16,1,1.7,6.2,1.3
"Zone2_A","Zone4_C",60,27,1,1.7,3.7,1.2
"Zone3_B","Zone4_G",29,54,1,3.4,1.9,1.2
"Zone1_A","Zone4_C",65,27,1,1.5,3.7,1.1
"Zone1_A","Zone4_I",65,32,1,1.5,3.1,1
"Zone1_D","Zone1_C",37,21,0,0,0,0
"Zone1_D","Zone1_B",37,18,0,0,0,0
"Zone1_D","Zone1_A",37,65,0,0,0,0
"Zone1_D","Zone4_K",37,15,0,0,0,0
"Zone1_D","Zone4_J",37,46,0,0,0,0
"Zone1_D","Zone4_G",37,54,0,0,0,0
"Zone1_D","Zone4_D",37,25,0,0,0,0
"Zone1_D","Zone4_C",37,27,0,0,0,0
"Zone1_D","Zone4_A",37,19,0,0,0,0
"Zone1_C","Zone1_B",21,18,0,0,0,0
"Zone1_C","Zone1_A",21,65,0,0,0,0
"Zone1_C","Zone2_B",21,39,0,0,0,0
"Zone1_C","Zone3_C",21,27,0,0,0,0
"Zone1_C","Zone3_B",21,29,0,0,0,0
"Zone1_C","Zone3_A",21,28,0,0,0,0
"Zone1_C","Zone4_K",21,15,0,0,0,0
"Zone1_C","Zone4_J",21,46,0,0,0,0
