"species","colour","cluster","cluster_int"
"Sphaerodorum.gracilis","#7B8AE6","K",11
"Brada.villosa","#7B8AE6","K",11
"Virgularia.mirabilis","#7B8AE6","K",11
"Acanthocardia.echinata","#7B8AE6","K",11
"Labidoplax.buskii","#7B8AE6","K",11
"Polyphysia.crassa","#7B8AE6","K",11
"Polycirrus.plumosus","#7B8AE6","K",11
"Rhodine.loveni","#7B8AE6","K",11
"Eudorella.emarginata","#7B8AE6","K",11
"Prionospio.multibranchiat","#7B8AE6","K",11
"Brissopsis.lyrifera","#7B8AE6","K",11
"Tellimya.tenella","#7B8AE6","K",11
"Magelona.minuta","#7B8AE6","K",11
"Anobothrus.gracilis","#7B8AE6","K",11
"Pectinaria.belgica","#7B8AE6","K",11
"Eudorella.truncatula","#00ABB2","J",10
"Levinsenia.gracilis","#00ABB2","J",10
"Kurtiella.bidentata","#00ABB2","J",10
"Phaxas.pellucidus","#00ABB2","J",10
"Terebellides.stroemii","#00ABB2","J",10
"Scalibregma.inflatum","#00ABB2","J",10
"Tharyx.killariensis","#00ABB2","J",10
"Edwardsia.longicornis","#00ABB2","J",10
"Mysia.undata","#00ABB2","J",10
"Magelona.alleni","#00ABB2","J",10
"Pholoe.baltica","#00ABB2","J",10
"Chaetozone.setosa","#00ABB2","J",10
"Goniada.maculata","#00ABB2","J",10
"Phoronis.muelleri","#00ABB2","J",10
"Galathowenia.oculata","#00ABB2","J",10
"Prionospio.fallax","#00ABB2","J",10
"Phyllodoce.rosea","#00ABB2","J",10
"Amphiura.filiformis","#00ABB2","J",10
"Eumida.bahusiensis","#00ABB2","J",10
"Glycera.alba","#00ABB2","J",10
"Nucula.nitidosa","#00ABB2","J",10
"Thyasira.flexuosa","#00ABB2","J",10
"Abyssoninoe.hibernica","#00ABB2","J",10
"Oxydromus.flexuosus","#00ABB2","J",10
"Glycera.unicornis","#00ABB2","J",10
"Abra.nitida","#00ABB2","J",10
"Ennucula.tenuis","#00ABB2","J",10
"Diastylis.laevis","#00ABB2","J",10
"Dosinia.exoleta","#00ABB2","J",10
"Notomastus.latericeus","#00ABB2","J",10
"Cylichna.cylindracea","#00ABB2","J",10
"Turritella.communis","#00ABB2","J",10
"Owenia.fusiformis","#00ABB2","J",10
"Polycirrus.norvegicus","#00ABB2","J",10
"Diastyloides.biplicatus","#00ABB2","J",10
"Glycinde.nordmanni","#00ABB2","J",10
"Golfingia.vulgaris","#00ABB2","J",10
"Parvicardium.minimum","#00ABB2","J",10
"Trichobranchus.roseus","#00ABB2","J",10
"Westwoodilla.caecula","#00ABB2","J",10
"Harpinia.antennaria","#00ABB2","J",10
"Ampelisca.diadema","#00ABB2","J",10
"Praxillella.affinis","#00ABB2","J",10
"Paradoneis.eliasoni","#00ABB2","J",10
"Praxillella.praetermissa","#00ABB2","J",10
"Rhodine.gracilior","#00ABB2","J",10
"Chaetoderma.nitidulum","#00ABB2","J",10
"Maldane.sarsi","#00ABB2","J",10
"Phyllophora.crispa","#E16A86","I",9
"Ascidiella.aspersa","#E16A86","I",9
"Erythrodermis.traillii","#E16A86","I",9
"Upogebia.deltaura","#E16A86","I",9
"Bonnemaisonia.asparagoides","#E16A86","I",9
"Rhodophyllis.divaricata","#E16A86","I",9
"Ceramium.diaphanum","#E16A86","I",9
"Callithamnion.tetragonum","#E16A86","I",9
"Sargassum.muticum","#E16A86","I",9
"Pterothamnion.plumula","#E16A86","I",9
"Derbesia.marina","#E16A86","I",9
"Ptilota.gunneri","#E16A86","I",9
"Asperococcus.bullosus","#E16A86","I",9
"Dilsea.carnosa","#E16A86","I",9
"Heterosiphonia.plumosa","#E16A86","I",9
"Halidrys.siliquosa","#E16A86","I",9
"Lomentaria.clavellosa","#E16A86","I",9
"Dasysiphonia.japonica","#E16A86","I",9
"Laminaria.hyperborea","#E16A86","I",9
"Corallina.officinalis","#E16A86","I",9
"Bonnemaisonia.hamifera","#E16A86","I",9
"Plumaria.plumosa","#E16A86","I",9
"Bathyporeia.guilliamsonia","#E16A86","I",9
"Fabulina.fabula","#E16A86","I",9
"Spiophanes.bombyx","#E16A86","I",9
"Lamprops.fasciatus","#E16A86","I",9
"Nephtys.longosetosa","#E16A86","I",9
"Ophelia.borealis","#E16A86","I",9
"Modiolus.modiolus","#E16A86","I",9
"Paraonis.fulgens","#E16A86","I",9
"Spio.armata","#E16A86","I",9
"Branchiostoma.lanceolatum","#E16A86","I",9
"Pisione.remota","#E16A86","I",9
"Melobesia.membranacea","#E16A86","I",9
"Tanaissus.lilljeborgi","#E16A86","I",9
"Phoxocephalus.holbolli","#E16A86","I",9
"Callopora.lineata","#E16A86","I",9
"Escharella.immersa","#E16A86","I",9
"Spirorbis.corallinae","#E16A86","I",9
"Crisia.eburnea","#E16A86","I",9
"Halisarca.dujardinii","#E16A86","I",9
"Pholoe.inornata","#E16A86","I",9
"Spisula.subtruncata","#E16A86","I",9
"Lanice.conchilega","#E16A86","I",9
"Phyllodoce.groenlandica","#E16A86","I",9
"Desmarestia.aculeata","#E16A86","I",9
"Eumida.sanguinea","#E16A86","I",9
"Macoma.calcarea","#E16A86","I",9
"Aporrhais.pespelecani","#E16A86","I",9
"Philine.aperta","#E16A86","I",9
"Mediomastus.fragilis","#E16A86","I",9
"Nephtys.assimilis","#E16A86","I",9
"Aglaothamnion.tenuissimum","#B28D00","H",8
"Eteone.longa","#B28D00","H",8
"Nephtys.caeca","#B28D00","H",8
"Membranoptera.alata","#B28D00","H",8
"Desmarestia.viridis","#B28D00","H",8
"Rhodomela.confervoides","#B28D00","H",8
"Bryopsis.hypnoides","#B28D00","H",8
"Chaetomorpha.melagonium","#B28D00","H",8
"Laminaria.digitata","#B28D00","H",8
"Saccharina.latissima","#B28D00","H",8
"Polysiphonia.stricta","#B28D00","H",8
"Coccotylus.Phyllophora","#B28D00","H",8
"Delesseria.sanguinea","#B28D00","H",8
"Phycodrys.rubens","#B28D00","H",8
"Sphacelaria.cirrosa","#B28D00","H",8
"Spermothamnion.repens","#B28D00","H",8
"Leathesia.marina","#B28D00","H",8
"Spio.filicornis","#B28D00","H",8
"Cystoclonium.purpureum","#B28D00","H",8
"Vertebrata.byssoides","#B28D00","H",8
"Cladophora.rupestris","#B28D00","H",8
"Chondrus.crispus","#B28D00","H",8
"Ahnfeltia.plicata","#B28D00","H",8
"Ceramium.virgatum","#B28D00","H",8
"Bryopsis.plumosa","#B28D00","H",8
"Sphaerotrichia.divaricata","#B28D00","H",8
"Elachista.fucicola","#B28D00","H",8
"Furcellaria.lumbricalis","#B28D00","H",8
"Odonthalia.dentata","#D17B44","G",7
"Palmaria.palmata","#D17B44","G",7
"Gattyana.cirrhosa","#D17B44","G",7
"Cruoria.pellita","#D17B44","G",7
"Lithothamnion.glaciale","#D17B44","G",7
"Scagelothamnion.pusillum","#D17B44","G",7
"Tubulanus.polymorphus","#D17B44","G",7
"Echinocyamus.pusillus","#D17B44","G",7
"Eucratea.loricata","#D17B44","G",7
"Chalinula.limbata","#D17B44","G",7
"Polycirrus.medusa","#D17B44","G",7
"Filellum.serpens","#D17B44","G",7
"Poecilochaetus.serpens","#D17B44","G",7
"Thracia.phaseolina","#D17B44","G",7
"Perioculodes.longimanus","#D17B44","G",7
"Echinocardium.cordatum","#D17B44","G",7
"Tellimya.ferruginosa","#D17B44","G",7
"Ampelisca.brevicornis","#D17B44","G",7
"Chamelea.gallina","#D17B44","G",7
"Erythrotrichia.carnea","#D17B44","G",7
"Sphaceloderma.caespitulum","#D17B44","G",7
"Colaconema.nemalionis","#D17B44","G",7
"Rhodochorton.purpureum","#D17B44","G",7
"Plagiospora.gracilis","#D17B44","G",7
"Rubrointrusa.membranacea","#D17B44","G",7
"Peyssonnelia.dubyi","#D17B44","G",7
"Colaconema.daviesii","#D17B44","G",7
"Colaconema.pectinatum","#D17B44","G",7
"Ampelisca.macrocephala","#829C00","F",6
"Crenella.decussata","#829C00","F",6
"Apistobranchus.tullbergi","#829C00","F",6
