"species","colour","cluster","cluster_int"
"Ecrobia.ventrosa","#00A6CA","E",5
"Gammarus.oceanicus","#00A6CA","E",5
"Theodoxus.fluviatilis","#00A6CA","E",5
"Peringia.ulvae","#00A6CA","E",5
"Amphibalanus.improvisus","#00A6CA","E",5
"Mya.arenaria","#00A6CA","E",5
"Cerastoderma.glaucum","#00A6CA","E",5
"Hediste.diversicolor","#00A6CA","E",5
"Battersia.arctica","#00A6CA","E",5
"Corophium.volutator","#00A6CA","E",5
"Gammarus.zaddachi","#00A6CA","E",5
"Gammarus.salinus","#00A6CA","E",5
"Jaera.albifrons","#00A6CA","E",5
"Bathyporeia.pilosa","#00A6CA","E",5
"Cyanophthalma.obscura","#00A6CA","E",5
"Einhornia.crustulenta","#00A6CA","E",5
"Cladophora.rupestris","#00A6CA","E",5
"Neomysis.integer","#00A6CA","E",5
"Coccotylus.Phyllophora","#00A6CA","E",5
"Pygospio.elegans","#00A6CA","E",5
"Vertebrata.fucoides","#00A6CA","E",5
"Ceramium.tenuicorne","#00A6CA","E",5
"Ectocarpus.Pylaiella","#00A6CA","E",5
"Furcellaria.lumbricalis","#00A6CA","E",5
"Gaillona.rosea","#00A6CA","E",5
"Rhodochorton.purpureum","#00A6CA","E",5
"Eudesme.virescens","#00A6CA","E",5
"Mytilus","#00A6CA","E",5
"Pontoporeia.femorata","#B675E0","D",4
"Monoporeia.affinis","#B675E0","D",4
"Saduria.entomon","#B675E0","D",4
"Mysis.mixta","#B675E0","D",4
"Mysis.relicta","#B675E0","D",4
"Bylgides.sarsi","#B675E0","D",4
"Marenzelleria","#B675E0","D",4
"Halicryptus.spinulosus","#B675E0","D",4
"Limecola.balthica","#B675E0","D",4
"Elachista.fucicola","#E16A86","C",3
"Stictyosiphon.tortilis","#E16A86","C",3
"Zannichellia.major","#E16A86","C",3
"Chorda.filum","#E16A86","C",3
"Dictyosiphon.foeniculaceus","#E16A86","C",3
"Fucus.vesiculosus.radicans","#E16A86","C",3
"Ulva.prolifera","#E16A86","C",3
"Urospora.penicilliformis","#E16A86","C",3
"Chaetomorpha.linum","#E16A86","C",3
"Chara.connivens","#E16A86","C",3
"Rhizoclonium.riparium","#E16A86","C",3
"Ruppia.cirrhosa","#E16A86","C",3
"Ruppia.maritima","#E16A86","C",3
"Chara.baltica","#E16A86","C",3
"Chara.canescens","#E16A86","C",3
"Gammarus.tigrinus","#E16A86","C",3
"Potamogeton.perfoliatus","#E16A86","C",3
"Myriophyllum.spicatum","#E16A86","C",3
"Stuckenia.pectinata","#E16A86","C",3
"Ranunculus.peltatus.peltatus","#E16A86","C",3
"Chara.aspera","#E16A86","C",3
"Zannichellia.palustris","#E16A86","C",3
"Bolboschoenus.maritimus","#AA9000","B",2
"Ranunculus.aquatilis","#AA9000","B",2
"Ceratophyllum.demersum","#AA9000","B",2
"Phragmites.australis","#AA9000","B",2
"Myriophyllum.sibiricum","#AA9000","B",2
"Chara.tomentosa","#AA9000","B",2
"Najas.marina","#AA9000","B",2
"Lemna.trisulca","#AA9000","B",2
"Vaucheria","#AA9000","B",2
"Hippuris.vulgaris","#AA9000","B",2
"Schoenoplectus.tabernaemontani","#AA9000","B",2
"Schoenoplectus.lacustris","#00AA5A","A",1
"Typha.angustifolia","#00AA5A","A",1
"Myriophyllum.verticillatum","#00AA5A","A",1
"Nymphaea.alba","#00AA5A","A",1
"Typha.latifolia","#00AA5A","A",1
"Nuphar.lutea","#00AA5A","A",1
"Equisetum.fluviatile","#00AA5A","A",1
"Potamogeton.natans","#00AA5A","A",1
"Sagittaria.sagittifolia","#00AA5A","A",1
"Sparganium.emersum","#00AA5A","A",1
"Callitriche.hermaphroditica","#00AA5A","A",1
"Myriophyllum.alterniflorum","#00AA5A","A",1
"Chara.virgata","#00AA5A","A",1
"Butomus.umbellatus","#00AA5A","A",1
"Potamogeton.crispus","#00AA5A","A",1
"Fontinalis.antipyretica","#00AA5A","A",1
"Fontinalis.dalecarlica","#00AA5A","A",1
"Eleocharis.uniglumis","#00AA5A","A",1
"Juncus.gerardii","#00AA5A","A",1
"Lemna.minor","#00AA5A","A",1
"Dreissena.polymorpha","#00AA5A","A",1
"Monostroma.balticum","#00AA5A","A",1
"Potamogeton.obtusifolius","#00AA5A","A",1
"Zygnema","#00AA5A","A",1
"Eleocharis.palustris","#00AA5A","A",1
"Eleocharis.parvula","#00AA5A","A",1
"Stuckenia.vaginata","#00AA5A","A",1
"Aegagropila.linnaei","#00AA5A","A",1
"Potamogeton.berchtoldii","#00AA5A","A",1
"Cerastoderma.edule","#00AA5A","A",1
"Hippuris.tetraphylla","#00AA5A","A",1
"Nitellopsis.obtusa","#00AA5A","A",1
