"species","colour","cluster","cluster_int"
"Leathesia.marina","#E16A86","C",3
"Neomysis.integer","#E16A86","C",3
"Dictyosiphon.foeniculaceus","#E16A86","C",3
"Ecrobia.ventrosa","#E16A86","C",3
"Elachista.fucicola","#E16A86","C",3
"Cladophora.sericea","#E16A86","C",3
"Dumontia.contorta","#E16A86","C",3
"Ceramium.virgatum","#E16A86","C",3
"Ceramium.tenuicorne","#E16A86","C",3
"Ectocarpus.Pylaiella","#E16A86","C",3
"Cyanophthalma.obscura","#E16A86","C",3
"Furcellaria.lumbricalis","#E16A86","C",3
"Heterotanais.oerstedii","#E16A86","C",3
"Polydora.cornuta","#E16A86","C",3
"Chara.baltica","#E16A86","C",3
"Ruppia.maritima","#E16A86","C",3
"Ulva.lactuca","#E16A86","C",3
"Polysiphonia.stricta","#E16A86","C",3
"Tubificoides.pseudogaster","#E16A86","C",3
"Arenicola.marina","#E16A86","C",3
"Heteromastus.filiformis","#E16A86","C",3
"Ahnfeltia.plicata","#E16A86","C",3
"Callithamnion.corymbosum","#E16A86","C",3
"Scytosiphon.lomentaria","#E16A86","C",3
"Chaetomorpha.linum","#E16A86","C",3
"Ruppia.cirrhosa","#E16A86","C",3
"Zostera.marina","#E16A86","C",3
"Callopora.lineata","#50A315","B",2
"Scoloplos.armiger","#50A315","B",2
"Delesseria.sanguinea","#50A315","B",2
"Fabricia.stellaris","#50A315","B",2
"Aglaothamnion.tenuissimum","#50A315","B",2
"Ampithoe.rubricata","#50A315","B",2
"Cerastoderma.glaucum","#50A315","B",2
"Hediste.diversicolor","#50A315","B",2
"Mya.arenaria","#50A315","B",2
"Peringia.ulvae","#50A315","B",2
"Jaera.albifrons","#50A315","B",2
"Bathyporeia.pilosa","#50A315","B",2
"Amphibalanus.improvisus","#50A315","B",2
"Corophium.volutator","#50A315","B",2
"Gammarus.salinus","#50A315","B",2
"Ceramium.diaphanum","#50A315","B",2
"Desmarestia.viridis","#50A315","B",2
"Mytilus","#50A315","B",2
"Coccotylus.Phyllophora","#50A315","B",2
"Einhornia.crustulenta","#50A315","B",2
"Rhodomela.confervoides","#50A315","B",2
"Polyides.rotunda","#50A315","B",2
"Streblospio.shrubsolii","#50A315","B",2
"Vertebrata.fucoides","#50A315","B",2
"Gammarus.zaddachi","#50A315","B",2
"Alitta.succinea","#50A315","B",2
"Tubificoides.benedii","#50A315","B",2
"Baltidrilus.costatus","#50A315","B",2
"Gammarus.tigrinus","#50A315","B",2
"Marenzelleria","#009ADE","A",1
"Limecola.balthica","#009ADE","A",1
"Pygospio.elegans","#009ADE","A",1
"Diastylis.rathkei","#009ADE","A",1
"Bylgides.sarsi","#009ADE","A",1
"Halicryptus.spinulosus","#009ADE","A",1
"Pontoporeia.femorata","#009ADE","A",1
"Saduria.entomon","#009ADE","A",1
"Ampharete.acutifrons","#009ADE","A",1
"Micrura.baltica","#009ADE","A",1
"Terebellides.stroemii","#009ADE","A",1
"Ampharete.baltica","#009ADE","A",1
"Mya.truncata","#009ADE","A",1
"Astarte.elliptica","#009ADE","A",1
"Lagis.koreni","#009ADE","A",1
"Aricidea.cerrutii","#009ADE","A",1
"Priapulus.caudatus","#009ADE","A",1
"Diastyloides.biplicatus","#009ADE","A",1
"Opercularella.lacerata","#009ADE","A",1
"Flustra.foliacea","#009ADE","A",1
"Metridium.senile","#009ADE","A",1
"Juncus.gerardii","#009ADE","A",1
"Triglochin.maritima","#009ADE","A",1
"Corophium.multisetosum","#009ADE","A",1
"Monoporeia.affinis","#009ADE","A",1
"Alkmaria.romijni","#009ADE","A",1
"Apherusa.bispinosa","#009ADE","A",1
"Ulva.prolifera","#009ADE","A",1
