"species","colour","cluster","cluster_int"
"Edwardsia.longicornis","#D17B44","K",11
"Magelona.alleni","#D17B44","K",11
"Mysia.undata","#D17B44","K",11
"Pholoe.baltica","#D17B44","K",11
"Chaetozone.setosa","#D17B44","K",11
"Goniada.maculata","#D17B44","K",11
"Phoronis.muelleri","#D17B44","K",11
"Galathowenia.oculata","#D17B44","K",11
"Prionospio.fallax","#D17B44","K",11
"Phyllodoce.rosea","#D17B44","K",11
"Amphiura.filiformis","#D17B44","K",11
"Eumida.bahusiensis","#D17B44","K",11
"Glycera.alba","#D17B44","K",11
"Nucula.nitidosa","#D17B44","K",11
"Thyasira.flexuosa","#D17B44","K",11
"Eudorella.truncatula","#D17B44","K",11
"Levinsenia.gracilis","#D17B44","K",11
"Phaxas.pellucidus","#D17B44","K",11
"Kurtiella.bidentata","#D17B44","K",11
"Scalibregma.inflatum","#D17B44","K",11
"Terebellides.stroemii","#D17B44","K",11
"Abyssoninoe.hibernica","#D17B44","K",11
"Oxydromus.flexuosus","#D17B44","K",11
"Glycera.unicornis","#D17B44","K",11
"Abra.nitida","#D17B44","K",11
"Ennucula.tenuis","#D17B44","K",11
"Ampelisca.macrocephala","#D17B44","K",11
"Chalinula.limbata","#D17B44","K",11
"Paradoneis.eliasoni","#D17B44","K",11
"Praxillella.praetermissa","#D17B44","K",11
"Rhodine.gracilior","#D17B44","K",11
"Chaetoderma.nitidulum","#D17B44","K",11
"Maldane.sarsi","#D17B44","K",11
"Owenia.fusiformis","#D17B44","K",11
"Notomastus.latericeus","#D17B44","K",11
"Cylichna.cylindracea","#D17B44","K",11
"Turritella.communis","#D17B44","K",11
"Dosinia.exoleta","#D17B44","K",11
"Polycirrus.norvegicus","#D17B44","K",11
"Ampelisca.diadema","#D17B44","K",11
"Diastylis.laevis","#D17B44","K",11
"Trichobranchus.roseus","#20A73C","J",10
"Westwoodilla.caecula","#20A73C","J",10
"Glycinde.nordmanni","#20A73C","J",10
"Golfingia.vulgaris","#20A73C","J",10
"Prionospio.multibranchiat","#20A73C","J",10
"Rhodine.loveni","#20A73C","J",10
"Magelona.minuta","#20A73C","J",10
"Anobothrus.gracilis","#20A73C","J",10
"Pectinaria.belgica","#20A73C","J",10
"Acanthocardia.echinata","#20A73C","J",10
"Harpinia.antennaria","#20A73C","J",10
"Labidoplax.buskii","#20A73C","J",10
"Polyphysia.crassa","#20A73C","J",10
"Sphaerodorum.gracilis","#20A73C","J",10
"Brada.villosa","#20A73C","J",10
"Virgularia.mirabilis","#20A73C","J",10
"Priapulus.caudatus","#20A73C","J",10
"Protomedeia.fasciata","#20A73C","J",10
"Artacama.proboscidea","#20A73C","J",10
"Apistobranchus.tullbergi","#20A73C","J",10
"Crenella.decussata","#20A73C","J",10
"Sphaerotrichia.divaricata","#00A0D6","I",9
"Ahnfeltia.plicata","#00A0D6","I",9
"Chondrus.crispus","#00A0D6","I",9
"Bryopsis.plumosa","#00A0D6","I",9
"Furcellaria.lumbricalis","#00A0D6","I",9
"Saccharina.latissima","#00A0D6","I",9
"Eteone.longa","#00A0D6","I",9
"Membranoptera.alata","#00A0D6","I",9
"Ceramium.virgatum","#00A0D6","I",9
"Rhodomela.confervoides","#00A0D6","I",9
"Bryopsis.hypnoides","#00A0D6","I",9
"Chaetomorpha.melagonium","#00A0D6","I",9
"Callithamnion.corymbosum","#00A0D6","I",9
"Cystoclonium.purpureum","#00A0D6","I",9
"Polysiphonia.stricta","#00A0D6","I",9
"Coccotylus.Phyllophora","#00A0D6","I",9
"Delesseria.sanguinea","#00A0D6","I",9
"Polyides.rotunda","#00A0D6","I",9
"Phycodrys.rubens","#00A0D6","I",9
"Sphacelaria.cirrosa","#00A0D6","I",9
"Leathesia.marina","#00A0D6","I",9
"Bonnemaisonia.hamifera","#00A0D6","I",9
"Desmarestia.viridis","#00A0D6","I",9
"Vertebrata.byssoides","#00A0D6","I",9
"Erythrotrichia.carnea","#00AD7F","H",8
"Aglaothamnion.tenuissimum","#00AD7F","H",8
"Rhodochorton.purpureum","#00AD7F","H",8
"Sphaceloderma.caespitulum","#00AD7F","H",8
"Nephtys.caeca","#00AD7F","H",8
"Scoloplos.armiger","#00AD7F","H",8
"Odonthalia.dentata","#00AD7F","H",8
"Laminaria.digitata","#00AD7F","H",8
"Desmarestia.aculeata","#00AD7F","H",8
"Palmaria.palmata","#00AD7F","H",8
"Tubulanus.polymorphus","#00AD7F","H",8
"Echinocyamus.pusillus","#00AD7F","H",8
"Eucratea.loricata","#00AD7F","H",8
"Perioculodes.longimanus","#00AD7F","H",8
"Echinocardium.cordatum","#00AD7F","H",8
"Tellimya.ferruginosa","#00AD7F","H",8
"Poecilochaetus.serpens","#00AD7F","H",8
"Thracia.phaseolina","#00AD7F","H",8
"Pterothamnion.plumula","#00AD7F","H",8
"Ampelisca.brevicornis","#00AD7F","H",8
"Chamelea.gallina","#00AD7F","H",8
"Erythrodermis.traillii","#00AD7F","H",8
"Rubrointrusa.membranacea","#00AD7F","H",8
"Colaconema.daviesii","#00AD7F","H",8
"Peyssonnelia.dubyi","#00AD7F","H",8
"Gammarus.tigrinus","#00AD7F","H",8
"Gattyana.cirrhosa","#00AD7F","H",8
"Derbesia.marina","#00AD7F","H",8
"Filellum.serpens","#00AD7F","H",8
"Cruoria.pellita","#00AD7F","H",8
"Lithothamnion.glaciale","#00AD7F","H",8
"Scagelothamnion.pusillum","#00AD7F","H",8
"Branchiostoma.lanceolatum","#C071DC","G",7
"Pisione.remota","#C071DC","G",7
"Melobesia.membranacea","#C071DC","G",7
"Tanaissus.lilljeborgi","#C071DC","G",7
"Spermothamnion.repens","#C071DC","G",7
"Spio.filicornis","#C071DC","G",7
"Corallina.officinalis","#C071DC","G",7
"Plumaria.plumosa","#C071DC","G",7
"Bathyporeia.guilliamsonia","#C071DC","G",7
"Nephtys.longosetosa","#C071DC","G",7
"Ophelia.borealis","#C071DC","G",7
"Fabulina.fabula","#C071DC","G",7
"Spiophanes.bombyx","#C071DC","G",7
"Mediomastus.fragilis","#C071DC","G",7
"Lomentaria.clavellosa","#C071DC","G",7
"Dilsea.carnosa","#C071DC","G",7
"Dasysiphonia.japonica","#C071DC","G",7
"Laminaria.hyperborea","#C071DC","G",7
"Asperococcus.bullosus","#C071DC","G",7
"Aporrhais.pespelecani","#C071DC","G",7
"Nephtys.assimilis","#C071DC","G",7
"Lanice.conchilega","#C071DC","G",7
"Phyllodoce.groenlandica","#C071DC","G",7
"Eumida.sanguinea","#C071DC","G",7
"Macoma.calcarea","#C071DC","G",7
"Parexogone.hebes","#C071DC","G",7
"Pholoe.inornata","#C071DC","G",7
"Spisula.subtruncata","#C071DC","G",7
"Heteromastus.filiformis","#7B8AE6","F",6
"Cerastoderma.edule","#7B8AE6","F",6
"Asterias.rubens","#7B8AE6","F",6
"Harmothoe.imbricata","#7B8AE6","F",6
"Polycirrus.medusa","#7B8AE6","F",6
"Trochochaeta.multisetosa","#7B8AE6","F",6
"Ampharete.baltica","#7B8AE6","F",6
"Arctica.islandica","#7B8AE6","F",6
"Abra.alba","#7B8AE6","F",6
"Nephtys.ciliata","#7B8AE6","F",6
"Ophiura.albida","#7B8AE6","F",6
"Corbula.gibba","#7B8AE6","F",6
"Parvicardium.pinnulatum","#7B8AE6","F",6
"Aricidea.suecica","#7B8AE6","F",6
"Nereimyra.punctata","#7B8AE6","F",6
"Gastrosaccus.spinifer","#7B8AE6","F",6
"Phyllodoce.mucosa","#7B8AE6","F",6
"Lineus.ruber","#B28D00","E",5
"Spio.goniocephala","#B28D00","E",5
"Electra.pilosa","#B28D00","E",5
"Aricidea.minuta","#B28D00","E",5
"Dipolydora.quadrilobata","#B28D00","E",5
"Callopora.lineata","#B28D00","E",5
"Escharella.immersa","#B28D00","E",5
"Phoxocephalus.holbolli","#B28D00","E",5
"Crassicorophium.crassicor","#B28D00","E",5
"Psammechinus.miliaris","#B28D00","E",5
"Malacobdella.grossa","#B28D00","E",5
"Astarte.borealis","#B28D00","E",5
"Astarte.elliptica","#B28D00","E",5
"Pholoe.assimilis","#B28D00","E",5
"Laonome.kroyeri","#B28D00","E",5
"Astarte.montagui","#B28D00","E",5
"Dendrodoa.grossularia","#B28D00","E",5
"Halcampa.duodecimcirrata","#B28D00","E",5
"Mya.truncata","#B28D00","E",5
"Pariambus.typicus","#B28D00","E",5
"Sertularia.cupressina","#B28D00","E",5
"Lysilla.loveni","#B28D00","E",5
"Hiatella.arctica","#B28D00","E",5
"Nephtys.pente","#B28D00","E",5
"Musculus.niger","#B28D00","E",5
"Pherusa.plumosa","#B28D00","E",5
"Elachista.fucicola","#E16A86","D",4
"Fucus.serratus","#E16A86","D",4
"Vertebrata.fucoides","#E16A86","D",4
"Dumontia.contorta","#E16A86","D",4
"Chaetomorpha.linum","#E16A86","D",4
"Cladophora.sericea","#E16A86","D",4
"Dasya.baillouviana","#E16A86","D",4
"Ulva.lactuca","#E16A86","D",4
"Ectocarpus.Pylaiella","#E16A86","D",4
"Chorda.filum","#E16A86","D",4
"Dictyosiphon.foeniculaceus","#E16A86","D",4
"Capitella.capitata","#E16A86","D",4
"Tubificoides.benedii","#E16A86","D",4
"Polydora.cornuta","#E16A86","D",4
"Polysiphonia.elongata","#E16A86","D",4
"Arenicola.marina","#E16A86","D",4
"Nemalion.multifidum","#E16A86","D",4
"Bittium.reticulatum","#E16A86","D",4
"Fucus.vesiculosus.radicans","#E16A86","D",4
"Ruppia.maritima","#E16A86","D",4
"Ruppia.cirrhosa","#E16A86","D",4
"Alitta.succinea","#E16A86","D",4
"Mesogloia.vermiculata","#E16A86","D",4
"Scytosiphon.lomentaria","#E16A86","D",4
"Zostera.marina","#E16A86","D",4
"Tubificoides.pseudogaster","#E16A86","D",4
"Ophelia.rathkei","#E16A86","D",4
"Fabricia.stellaris","#E16A86","D",4
"Platynereis.dumerilii","#E16A86","D",4
"Scrobicularia.plana","#E16A86","D",4
"Ulva.prolifera","#00ABB2","C",3
"Eleocharis.uniglumis","#00ABB2","C",3
"Triglochin.maritima","#00ABB2","C",3
"Ulva.linza","#00ABB2","C",3
"Schoenoplectus.lacustris","#00ABB2","C",3
"Ascophyllum.nodosum","#00ABB2","C",3
"Lemna.minor","#00ABB2","C",3
"Laonice.bahusiensis","#00ABB2","C",3
"Paramphinome.jeffreysii","#00ABB2","C",3
"Molgula.manhattensis","#00ABB2","C",3
"Clytia.hemisphaerica","#00ABB2","C",3
"Metridium.senile","#00ABB2","C",3
"Polycirrus.plumosus","#00ABB2","C",3
"Hermania.scabra","#00ABB2","C",3
"Upogebia.deltaura","#00ABB2","C",3
"Microphthalmus.sczelkowii","#00ABB2","C",3
"Philine.quadripartita","#00ABB2","C",3
"Musculus.discors","#00ABB2","C",3
"Pusillina.inconspicua","#00ABB2","C",3
"Bathyporeia.pelagica","#00ABB2","C",3
"Gammarellus.homari","#00ABB2","C",3
"Phyllophora.crispa","#829C00","B",2
"Bonnemaisonia.asparagoides","#829C00","B",2
"Ptilota.gunneri","#829C00","B",2
"Rhodophyllis.divaricata","#829C00","B",2
"Apoglossum.ruscifolium","#829C00","B",2
"Heterosiphonia.plumosa","#829C00","B",2
"Spirorbis.corallinae","#DE63B9","A",1
"Halisarca.dujardinii","#DE63B9","A",1
"Monocorophium.insidiosum","#DE63B9","A",1
"Dictyosiphon.chordaria","#DE63B9","A",1
"Spongonema.tomentosum","#DE63B9","A",1
"Apherusa.bispinosa","#DE63B9","A",1
"Halosiphon.tomentosus","#DE63B9","A",1
"Spongomorpha.aeruginosa","#DE63B9","A",1
"Callithamnion.tetragonum","#DE63B9","A",1
"Sargassum.muticum","#DE63B9","A",1
"Halidrys.siliquosa","#DE63B9","A",1
"Spermatochnus.paradoxus","#DE63B9","A",1
"Chordaria.flagelliformis","#DE63B9","A",1
"Cladophora.rupestris","#DE63B9","A",1
"Modiolus.modiolus","#DE63B9","A",1
"Paraonis.fulgens","#DE63B9","A",1
